Question Stem,Correct1,Incorrect1,Incorrect 2,Incorrect 3,Category1,Category2,Category3,Category4,,
MOST cases of herpetiform aphthous stomatitis can be distinguished from true herpetic ulcers based on the,Type of mucosal surface typically involved,Number of ulcers,Size of the ulcers,Speed at which the ulcers heal,Allergies/Immunologic,,,,,
"In conjunction with radiographic and clinical findings, which of the following tests would be MOST useful to confirm a diagnosis of sarcoidosis?","Lung, parotid or skin biopsy",Pathergy test,Erythrocyte sedimentation rate,Antineutrophil cytoplasmic antibodies (anca),Allergies/Immunologic,,,,,
Which if the following statements is INCORRECT regarding recurrent aphthous stomatitis?  ,Results from a antibody-mediated immunologic reaction with the production of TNF-alpha ,One of the most common oral mucosal conditions ,Common disease process that may be initiated by a variety of causative agents,Diagnosis mostly done from the clinical presentation and by exclusion  ,Allergies/Immunologic,,,,,
Which of the following medications you should NOT consider as an option for the management of Behçet Syndrome? ,Carbamazepine ,Corticosteroids,Cyclosporine,Anti-TNF-α medications,Allergies/Immunologic,,,,,
Regarding Wegener Granulomatosis which of the following statement is CORRECT? ,The first line of therapy is oral prednisone and cyclophosphamide,The characteristic oral manifestation is strawberry tongue ,"The affected gingiva appears dull, firm, and immobile with surface stippling",Diagnosis is made relaying only on the clinical characteristics ,Allergies/Immunologic,,,,,
Which of the disease processes below are NOT associated with palatal perforations?,Orofacial granulomatosis,Mucormycosis,Angiocentric T-Cell Lymphoma,Tertiary syphilis,Allergies/Immunologic,,,,,
Which of the following oral lesions most likely results from a T cell-mediated immunologic reaction with the production of TNF-alpha and destruction of the surface epithelium by cytotoxic CD8+ cells? , Herpetiform aphthous ulcerations ,Primary herpetic gingivostomatitis ,Stomatitis Medicamentosa , Behçet Syndrome ,Allergies/Immunologic,Dermatologic,,,,
Recurrent Aphthous Stomatitis is most likely to affect which of the following sites  ,Floor of the mouth ,Gingiva  ,Hard palate  ,Dorsum of the tongue ,Allergies/Immunologic,,,,,
What are the clinical variations of recurrent aphthous stomatitis? ,"Minor, Major, Herpetiform","Minor, Major, Herpetic ","Mild, Severe, Herpetic ","Mild, Severe, Herpetiform ",Allergies/Immunologic,,,,,
Which if the following is/are mostly affected in Limited Wegener Granulomatosis?  ,Respiratory system  ,Respiratory and renal systems ,"Respiratory system, skin, and mucosa ",Renal system and skin and mucosa  ,Allergies/Immunologic,,,,,
Regarding cinnamon-induced contact stomatitis the following statement is NOT correct  ,Reactions from cinnamon flavored chewing gum are generalized and often affect the lip vermillion ,"The gingiva is the most frequent site affected by cinnamon flavored toothpaste, and often resembles plasma cell gingivitis",Lesions often appear on the buccal mucosa and lateral borders of the tongue ,Lesions often appear predominantly white due to hyperkeratosis of the surface epithelium ,Allergies/Immunologic,,,,,
Tumor of the jaw associated with nocturnal pain alleviated by aspirin,Osteoid Osteoma,Cementoblastoma,Osteosarcoma,Ossifying fibroma,Bone,Pain,,,,
"Tumor of the jaw that fuses to teeth, mostly frequently in the mandibular molar region",Cementoblastoma,Osteoid Osteoma,Osteosarcoma,Periapical cemento-osseous dysplasia,Bone,Odontogenic,,,,
"Syndrome associated with odontomas, supernumerary teeth, colorectal polyps",Gardner syndrome,Cleidocranial dysplasia,Ascher syndrome,Down syndrome,Bone,Syndromes,Odontogenic,Dental Anomalies,,
Paget disease of bone is associated with,Elevated serum alkaline phosphatase,Elevated calcium,Elevated aspartate aminotransferase,Elevated alanine transaminase,Bone,,,,,
"""Ground glass"", ""cotton wool"", ""onion skin"", and ""sunburst"" describe",Radiopacities,Radiolucencies,Cortical bone,Trabecular bone,Bone,,,,,
A densely mineralized mass attached to the roots of mandibular molars is ,Cementoblastoma,Osteoblastoma,Cemento-osseous dysplasia,Odontoma,Bone,Odontogenic,,,,
The most common form of cancer involving bone is ,Metastatic carcinoma,Ewing sarcoma,Osteosarcoma,Chondrosarcoma,Bone,Soft Tissue,,,,
The most common form of cancer primary to bone is,Osteosarcoma,Metastatic carcinoma,Ewing sarcoma,Chondrosarcoma,Bone,,,,,
"A ""cotton wool"" radiopacity in the maxilla of an older male is most likely",Paget disease of bone,A compound odontoma,An ameloblastic fibrous odontoma,Proliferative periostitis,Bone,,,,,
"When a clustered radiopacity is seen in the mid-portion of the ascending ramus with no intrabony cause, a/an __________ should be considered.",Tonsillolith,Sialolith,Elongated stylohyoid ligament,Dystrophic calcification,Bone,Miscellaneous,,,,
"What relatively circumscribed, mixed radiolucent-radiopaque lesion is typically described as yielding dull, nocturnal pain that is relieved by aspirin?",Osteoid osteoma,Ossifying fibroma,Osteosarcoma,Chondrosarcoma,Bone,,,,,
A dense radiopaque mass surrounded by a thin radiolucent rim and fused to a posterior tooth root best describes what lesion?,Cementoblastoma,Osteoblastoma,Osteosarcoma,Chondrosarcoma,Bone,,,,,
Skeletal chondromatosis seen in association with soft tissue angiomas best describes what condition?,Maffucci syndrome,Ollier disease,Paget disease,Gardner syndrome,Bone,Syndromes,,,,
What benign TMJ arthropathy is characterized by metaplastic cartilaginous nodules within the synovial membrane?,Synovial chondromatosis,Desmoplastic fibroma,Chondrosarcoma,Osteosarcoma,Bone,,,,,
"In the gnathic skeleton, chondrosarcoma occurs more often than osteosarcoma. ",FALSE,TRUE,,,Bone,,,,,
Metastatic carcinoma is the most common form of cancer involving bone. ,TRUE,FALSE,,,Bone,Soft Tissue,,,,
"With rare exceptions, epithelium-lined cysts in bone are seen only in the jaws. ",TRUE,FALSE,,,Bone,,,,,
Bilateral multiloculated radiolucencies occurring in the posterior mandible and ascending ramus of a young child are most consistent with what condition?,Cherubism,Paget disease,Ossifying fibroma,Fibrous dysplasia,Bone,,,,,
"Clinical, radiographic, surgical, and histomorphologic features consistent with a simple bone cyst (traumatic bone cyst) include all of the following, EXCEPT",An epithelial lined cystic cavity intermixed with trabeculae of cellular reactive bone,Empty or fluid filled bone cavity,History of gnathic trauma,Radiolucent defect with scalloping projections between roots of teeth,Bone,,,,,
What fibro-osseous lesion occurring within the gnathic skeleton is considered to be neoplastic?,Ossifying fibroma,Fibrous dysplasia,Periapical cemento-osseous dysplasia,Florid cemento-osseous dysplasia,Bone,,,,,
"What fibro-osseous lesion condition is typically described as having a ""ground glass"" radiographic appearance?",Fibrous dysplasia,Ossifying fibroma,Cemento-osseous dysplasia,Paget disease,Bone,,,,,
What fibro-osseous condition or category typically involves the apices of mandibular anterior teeth of middle aged black females?,Cemento-osseous dysplasia,Fibrous dysplasia,Ossifying fibroma,Osteosarcoma,Bone,,,,,
"What fibro-osseous condition typically demonstrates a well-defined, unilocular radiolucency with varying degrees of radiopacity and exhibits a characteristic downward bowing of inferior cortex of the mandible?",Ossifying fibroma,Fibrous dysplasia,Cemento-osseous dysplasia,Osteosarcoma,Bone,,,,,
"The 'juvenile"" or ""active"" ossifying fibroma is a variant of ossifying fibroma which typically occurs in a younger age population, exhibits a rapid growth rate, and a maxillary predilection. ",TRUE,FALSE,,,Bone,,,,,
"If left untreated or misdiagnosed, what condition would you expect a patient to eventually develop (malignant) adenocarcinomatous colonic polyps?",Gardner syndrome,Paget disease,McCune-Albright syndrome,Nevoid basal cell carcinoma syndrome,Bone,Syndromes,,,,
Osteogenesis imperfecta demonstrates mutations in one of two genes that guide in the formation of which type of collagen?,Type I,Type II,Type III,Type IV,Bone,,,,,
Osteopetrosis is characterized by a marked increase in bone density resulting from,Defective osteoclastic function,Excessive osteoclastic function,Metastatic disease,Osteomyelitis,Bone,,,,,
A bone disorder best known for its dental and clavicular abnormalities and characterized by a defect in the CBFA1/RUNX2 gene on chromosome 6p21 best represents which of the following conditions?,Cleidocranial dysplasia,Paget’s disease of bone,Fibrous dysplasia,Gardner syndrome,Bone,Syndromes,,,,
"The focal osteoporotic bone marrow defect typically occurs in the posterior mandible,  and is usually found in edentulous areas of adult women. ",TRUE,FALSE,,,Bone,,,,,
"Idiopathic osteosclerosis typically occurs in the anterior mandible and presents as an asymptomatic, well-defined radiodense mass. ",FALSE,TRUE,,,Bone,,,,,
"A middle-aged British man who develops severe long bone pain, with increased interdental spacing and enlargement of the middle third of the face, is most consistent with what condition?",Paget’s disease (osteitis deformans),Massive osteolysis (Gorham’s disease),Multiple myeloma,Osteogenesis imperfecta,Bone,,,,,
The malignancy of bone strongly associated with Paget’s disease with previous irradiation is ,Osteosarcoma,Mesenchymoma,Triton tumor,Fibrous dysplasia,Bone,,,,,
Benign tumors composed of mature compact or cancellous bone essentially restricted to the craniofacial skeleton describes ,Osteoma,Ossifying fibroma,Osteochondroma,Cemento-osseous dysplasia,Bone,,,,,
"Colorectal polyps, skeletal anomalies, supernumerary and impacted teeth are features of ",Gardner syndrome,Proteus syndrome,von Recklinghausen disease,Peutz-Jeghers syndrome,Bone,Dental Anomalies,,,,
All may show moth eaten done destruction EXCEPT,Chondrosarcoma,Calcifying epithelial odontogenic tumor,Osteomyelitis,Osteoid osteoma,Bone,,,,,
The vast majority of fibrous dysplasia cases are,Monostotic,Associated with McCune-Albright syndrome,Fatal,Neoplastic,Bone,,,,,
"One common feature of focal cemento-osseous dysplasia, relative to the other osseous dysplasias, is",Higher percentage in whites,Lesions usually located in the anterior mandible,More common in males,Multiple single lesions,Bone,,,,,
We discuss Gardner’s syndrome in an oral pathology course because of the presence in the syndrome of,Osteomas,Café au lait spots,Cementoblastomas,Fibrous dysplasia,Bone,Syndromes,,,,
The most appropriate treatment for a slowly and progressively-expanding fibrous dysplasia is,Observation until it “burns out”,Extraction of all affected teeth,Frequent “de-bulking” procedures to make it smaller,Low-dose radiotherapy (2000 cGy) in divided doses,Bone,,,,,
All of the following are true of fibrous dysplasia EXCEPT ,The dysplasia is pre-malignant ,Most are monostotic ,Most have a “ground glass” appearance ,It is often first seen in younger patients ,Bone,,,,,
Which bone lesion occurs more commonly in the maxilla?,Chondrosarcoma ,Osteosarcoma ,Metastatic neoplasm to the jaws ,Focal cemento-osseous dysplasia ,Bone,,,,,
All of the following are synonyms for the same lesion EXCEPT ,Aneurysmal bone cyst ,Simple bone cyst ,Unicameral bone cyst ,Idiopathic bone cavity  ,Bone,,,,,
"A child presents with bilateral painless, radiolucent swellings of the jaws. She most likely has ",Cherubism ,Gardner syndrome ,Reye syndrome ,Fibrous dysplasia ,Bone,,,,,
Cleidocranial dysplasia usually has all of the following features EXCEPT ,Usually presents as a unilocular radiolucency ,Multiple unerupted teeth ,Absent or hypoplastic clavicles ,Multiple supernumerary teeth ,Bone,,,,,
The most common malignancy found in bone is ,Metastatic cancer ,Osteosarcoma ,Ewing sarcoma ,Chondrosarcoma ,bone,,,,,
Paget disease of bone. All of the following are true EXCEPT ,Has no increased risk for osteosarcoma ,May present with a “cotton wool” appearance  ,Early lesions may show decreased radiodensity  ,Many patients are asymptomatic at first presentation  ,Bone,,,,,
"Acroosteolysis, as seen in systemic sclerosis, refers to ",Bony erosion of the terminal phalanges,Destruction of the acromion process,Resorption of the posterior ramus of the mandible,Loss of density in the body of lumbar vertebrae ,Bone,,,,,
Monostotic fibrous dysplasia is characterized by all of the following EXCEPT  ,Usually diagnosed in the fourth decade of life,accounts for 80-85% of cases of fibrous dysplasia,"characterized by ""ground glass"" appearance on radiographs ",most often a painless condition ,Bone,,,,,
Which statement about central giant cell granuloma (CGCG) is FALSE? ,"By far most cases of CGCG’s fall under the category of aggressive lesions, which are characterized by pain, rapid growth, cortical perforation, root resorption, tooth displacement and/or paresthesia ","Approximately 70% of CGCG’s arise in the mandible, and these lesions frequently cross over the midline ","Radiographically, CGCG’s may be unilocular or mutlilocular radiolucencies with well-delineated but generally non-corticated borders, and can vary in size from 5mm to over 10cm in diameter ",CGCG’s are histopathologically identical to brown tumors seen with hyperparathyroidism ,Bone,systemic,,,,
Osteogenesis imperfecta can be characterized by all of the following EXCEPT  ,Lisch nodules,Thin dentin and enamel,Joint hyperextensibility,Blue sclerae,Bone,,,,,
Which of the following statements is TRUE regarding synovial chondromatosis  ,"Usually found in larger joints, very rarely found in TMJ  ","Often found in young, prepubescent males ",Can often be diagnosed solely on clinical features ,Lacks radiographic evidence of joint damage  ,Bone,,,,,
"All of the following are TRUE about ossifying fibroma, EXCEPT ",Maxilla involved more often than the mandible,Female predilection,Can be a component of hyperparathyroidism-jaw tumor syndrome,Pain and paresthesia are rare,Bone,,,,,
Features of cleidocranial dysplasia include all of the following EXCEPT  ,Early exfoliation of the primary teeth,Frontal and parietal bossing,Hypoplastic clavicles ,Mandibular prognathism,Bone,,,,,
Which of followings are the characteristic features of focal osteoporotic marrow defect?   ,The focal osteoporotic marrow defect is typically asymptomatic ,More than 75% of all cases are discovered in adult women,"About 70% occur in the posterior mandible, most often in an edentulous area",All of the above,Bone,,,,,
Paget disease (Osteitis Deformans) can be characterized by all of the following statements EXCEPT ,The most common location in the body is the mandible ,"It has a ""cotton wool"" appearance ",The disease frequency increases with age ,Patients can have a lion-like appearance (Leontiasis Ossea) in extreme cases ,Bone,,,,,
All of the following are true regarding cementoblastomas EXCEPT ,Cementoblastomas are common odontogenic benign tumors of cementoblasts ,"Radiographically, the tumor appears as a radiopaque mass that is fused to one or more tooth roots ",Treatment usually consists of surgical extraction of the tooth together with the attached calcified mass ,The majority affect the molar & premolar region ,Bone,,,,,
The most common clinical manifestation of an aneurysmal bone cyst is ,History of rapid swelling,Nasal bleeding,Crepitus,Paresthesia,Bone,,,,,
Patients presenting with extreme or symptomatic Paget Disease are often treated by ,Bisphosphonate therapy ,Alkaline phosphatase ,Broad spectrum antibiotics ,No treatment is required  ,Bone,,,,,
The most common location for osteosarcoma is ,Distal femur,Posterior mandible,Tibia,Ribs,Bone,,,,,
All of the following are clinical features of Gardner syndrome EXCEPT   ,"Skeletal abnormalities do not appear until adulthood, well after the development of bowel polyps ","When gnathic bone lesions are seen, they often occur in the region of the mandibular angles ",The most common skeletal abnormalities seen in these patients are osteomas ,"Dental abnormalities include increased prevalence of odontomas, supernumerary teeth, and impacted teeth ",Bone,Syndromes,,,,
Which one of the following is false about metastasis to the jaws?,More than 80% of reported metastasis to the jaws have occurred in the maxilla,Metastatic deposits in the jaws usually appear as radiolucent defects  ,Jaws are usually considered to be uncommon sites for metastasis,"Some symptoms include pain, loosening of teeth, a mass, paresthesia, or swelling",Bone,,,,,
Bisphosphonate medications work by ,Inhibiting osteoclast activity ,Increasing phosphate excretion,Decreasing calcium absorbtion,Inhibiting calcitonin,Bone,,,,,
All of the following are commonly true about cherubism EXCEPT ,Is associated with monostotic fibrous dysplasia of bone ,Bilateral facial swelling ,Diagnosed in childhood ,It is an autosomal dominant inheritance associated with gene SH3BP2  ,Bone,,,,,
The classic radiographic feature of monostotic fibrous dysplasia is ,"""Ground glass"" appearance","""Cotton wool"" appearance","""Punched out"" bone lesions", Generalized periapical radiolucencies,Bone,,,,,
Central ossifying fibroma commonly has all of the following features EXCEPT ,Blends in with surrounding bone ,May have both bone and cementum-like material ,Is a benign neoplasm ,Has the potential for significant growth,Bone,,,,,
All of the following normally demonstrate an autosomal dominant mode of inheritance EXCEPT  ,Infantile (malignant) osteopetrosis,Cherubism,Type 1 osteogenesis imperfecta,Neurofibromatosis 1,Bone,,,,,
You have made a radiographic diagnosis of “simple bone cyst”. All of the following features are true about that lesion EXCEPT  ,Is lined histologically by stratified squamous epithelium,May scallop between tooth roots,Is a radiolucent lesion,Is well-circumscribed,Bone,,,,,
Mazabraud Syndrome consists of polyostotic fibrous dysplasias and which of the following,Intramuscular myxomas,Precocious puberty,Multiple Endocrinopathies,Tricuspid valve defects,Bone,,,,,
The following are common features of cleidocranial dysplasia EXCEPT,Multiple basal cell carcinomas ,Supernumerary teeth ,Absent or hypoplastic clavicles ,Delayed eruption of teeth  ,Bone,,,,,
Which of the following is the most successful and widely accepted treatment for massive osteolysis?,Radiation ,Enucleation ,Transplantation ,No treatment  ,Bone,,,,,
"When you surgically enter an aneurysmal bone cyst, you would normally expect to find ",Pools of un-coagulated blood ,Sero-sanguinous fluid ,A lining of non-keratinized stratified squamous epithelium ,Solid masses of multinucleated giant cells  ,Bone,,,,,
"When a colleague of yours mentions a patient with Paget’s disease and findings of ""black beard"" or ""Lincoln sign"", you know this is referring to the ",Localized increased uptake on bone scintigraphy,Histologic increased osteoclastic & osteoblastic activity with prominent reversal lines,"Patchy, sclerotic,  “cotton wool” appearance, radiographically",,Bone,,,,,
Which of the following is true of a Focal Osteoporotic Marrow Defect?,Incisional biopsy should be performed but the non-pathologic lesion requires no further treatment ,Typically presents as an ill-defined radiographic lesion in the anterior mandible ,The defect is typically found due to patient complaint of swelling and pain in the mandible ,Biopsy reveals abnormal hematopoetic cell proliferation which caused the radiolucency,Bone,,,,,
Cleidocranial dysplasia is caused by a disorder of what gene?,CBFA1  ,LEF1,PAX-9,WNT,Bone,,,,,
"White, wrinkled oral mucosa that may necrose and desquamate",Chemical burn,Proliferative verrucous leukoplakia,Smokeless tobacco keratosis,Frictional keratosis,Chemical/Physical Injury,Soft Tissue,,,,
A diagnosis of cervicofacial emphysema can be aided by the clinical feature of,Crepitus,Induration,Ulceration,Fixation,Chemical/Physical Injury,,,,,
A single blue-gray macular lesion is noted in the buccal mucosa adjacent to a porcelain-fused-to-metal crown. Your clinical impression is ,Amalgam tattoo,Melanotic neuroectodermal tumor,Addison disease,Minocycline pigmentation,Chemical/Physical Injury,Pigmented ,,,,
"Pigmentation of the gingiva, alveolar mucosa, or buccal mucosa adjacent to restored teeth that may correspond to radiopaque fragments in soft tissue represents",Amalgam tattoo,Melanoma,Smoker melanosis,Bilirubin,Chemical/Physical Injury,Pigmented ,,,,
Introduction of air into the subcutaneous tissues of the oral cavity may cause,Cervicofacial emphysema,Fremitus,Myospherulosis,Cutright lesion,Chemical/Physical Injury,,,,,
Antineoplastic therapy (therapeutic radiation or chemotherapy) is responsible for each of the following non-infectious complications EXCEPT,Candidiasis,Xerostomia,Mucositis,Trismus,Chemical/Physical Injury,,,,,
"Attrition, barometric changes and abrasion are all examples of  __________ injury which lead to pulpal inflammation. ",Mechanical,Iatrogenic,Chemical,Thermal,Chemical/Physical Injury,,,,,
Riga-Fede disease most often affects which of the following locations?,Anterior ventral tongue,Lower lip,Anterior dorsal tongue,Lateral tongue,Chemical/Physical Injury,,,,,
"Oral mucosa with a white, wrinkled appearance that can be necrotic and desquamate is most likely the result of a ",Chemical injury,Physical injury,Lichen planus,Systemic disease,Chemical/Physical Injury,,,,,
"In the oral cavity, complications of chemotherapy include",Mucositis,Xerostomia,Loss of taste,Osteoradionecrosis,Chemical/Physical Injury,,,,,
The risk of osteoradionecrosis is increased if a surgical procedure is performed within __________ days of initiation of radiation therapy. ,21,14,7,28,Chemical/Physical Injury,,,,,
A greater risk of oral cancer occurs in cigarette smokers as compared to pipe and cigar smokers.,FALSE,TRUE,,,Chemical/Physical Injury,,,,,
Pregnancy or the use of oral contraceptives can cause a pigmentary condition referred to as ,Melasma ,Melanosis,Addison’s disease,Drug induced pigmentation ,Chemical/Physical Injury,Dermatologic,Pigmented ,,,
The microscopic image of an amalgam tattoo with show amalgam staining in which of the following?,Connective tissue,Arteries,Veins,Epithelium,Chemical/Physical Injury,Pigmented ,,,,
Green discoloration of bone leading to a blue-gray discoloration of the oral mucosa is attributable to the use of ,Minocycline,Tetracycline,Chemotherapeutic medications,Antimalarial medications,Chemical/Physical Injury,,,,,
Traumatic sequestration most often occurs at the ,Lingual posterior mandible,Anterior maxilla,Facial mandible,Lingual posterior maxilla,Chemical/Physical Injury,,,,,
A cyst of the maxillary sinus that appears following trauma or a Caldwell-Luc procedure is termed a/an ,Surgical ciliated cyst,Retention cyst,Sinus mucocele,Antral pseudocyst,Chemical/Physical Injury,,,,,
The radiographic appearance of an antral pseudocyst differs from that of a surgical cyst in that an antral pseudocyst,Appears as a dome-shaped radiopacity ,Presents within the nasal cavity,Presents with a well-defined radiolucency,Is accompanied by a cloudy maxillary sinus ,Chemical/Physical Injury,,,,,
A diagnosis of cervicofacial emphysema can be aided by the clinical feature of ,Crepitus,Fluctuance,Induration,Fixation ,Chemical/Physical Injury,,,,,
The process that forms myospherulosis is termed a/an,Foreign body reaction,Allergic reaction,Delayed hypersensitivity ,Translocation ,Chemical/Physical Injury,,,,,
Myospherulosis results form placement of ­­­__________ into a surgical site. ,Petrolatum laced dressing,Cotton dressing,Linen dressing,Nylon dressing,Chemical/Physical Injury,,,,,
Melanocyte stimulation and deposition of metabolites are cases of ,Drug-related discoloration,Melasma,Chloasma,Racial pigmentation,Chemical/Physical Injury,Pigmented ,,,,
An increased frequency of thermal burns is associated with ,Microwaving,Raspberry tea consumption,Convection oven use,Wide clot toasters,Chemical/Physical Injury,,,,,
"Blue-gray discoloration of the alveolar mucosa, resulting from dark green bone seen through thin mucosa, describes",Minocycline pigmentation ,Smoker’s melanosis ,Peutz-Jegher’s syndrome ,Addison’s disease,Chemical/Physical Injury,Pigmented ,,,,
"Lead, silver, and bismuth intoxication can cause",Oral pigmentation,Xerostomia,Hirsutism,Animal magnetism ,Chemical/Physical Injury,,,,,
A dome-shaped lesion on the sinus floor seen on a panorex radiograph represents,Antral pseudocyst,Pneumatization,Uncle pseudocyst,Traumatic sequestration ,Chemical/Physical Injury,Head & Neck,,,,
"Hemorrhage, mucositis, dermatitis, xerostomia, and hypogeusia are features of ",Antineoplastic therapy,Electrical cord injury,Aspirin burn,Minamata disease,Chemical/Physical Injury,,,,,
"Smoking, certain drugs, and heavy metals can create mucosal pigmentation.",TRUE,FALSE,,,Chemical/Physical Injury,,,,,
"Oral mucosa with a white, wrinkled appearance that can become necrotic and desquamate is most likely the result of a ",Chemical injury,Physical injury,Lichen planus ,Systemic disease,Chemical/Physical Injury,,,,,
Which of the following statements is TRUE with regards to smoker’s melanosis?,It most frequently affects the anterior facial gingiva.,There is an increase in the number of melanocytes within the basal cell layer.,The pigmentation frequently persists following smoking cessation.,An incisional biopsy is the gold standard for establishing a diagnosis.,Chemical/Physical Injury,Pigmented ,,,,
" A diffuse, dark, bluish-gray discoloration of the entire palate should make you think of",Drug-related pigmentation,Racial pigmentation,Lead poisoning,Smoker’s melanosis,Chemical/Physical Injury,Pigmented ,,,,
"Relatively symmetric, bilateral distribution of pigmentation is characteristic of all of the following conditions/lesions EXCEPT which of the following?",Melanoma,Physiologic pigmentation,Smoker’s melanosis,Minocycline staining,Chemical/Physical Injury,Pigmented ,,,,
"Oral mucosa with a white, wrinkled appearance that can become necrotic and desquamate is most likely the result of a ",Chemical injury,Physical injury,Lichen planus ,Systemic disease,Chemical/Physical Injury,,,,,
Which pathology can result from the use of compressed air by the clinician or increased intraoral pressure after an oral surgical procedure?,Cervicofacial emphysema,Necrotizing Fasciitis,Pharyngitis,Dry socket,Chemical/Physical Injury,,,,,
Which of the following does NOT cause discoloration of oral mucosa?,Penicillin,Minocycline,Antimalarial medications,Tetracycline,Chemical/Physical Injury,,,,,
